Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected,Bet ID,Winnings
2025-02-03,14:45,Southwell,Elforleather,60,6,107,0,lucky15,888sport,Placed,LDXDAPBL,0.00
2025-02-04,19:00,Newcastle,Popular Dream,43,6.5,100,0,single,888sport,Placed,UEKSPSCP,0.00
2025-02-03,14:45,Southwell,Heart Over Head,98,2,100,0,single,sportingbet,Placed,ZCVHFTQC,0.00
2025-02-03,13:40,Southwell,Balkardy,91,12,100,0,lucky15,888sport,Placed,TTBHHMKB,0.85
2025-02-04,17:30,Newcastle,Mereside Madness,545,7,100,1,single,sportingbet,Placed,GKWUHFQL,10.50
2025-02-03,13:10,Southwell,Fever Dream,61,9,96,0,lucky15,888sport,Placed,CQTIBGYC,0.00
2025-02-03,19:00,Wolverhampton,Grand Duchess Olga,57,6,97,0,lucky15,888sport,Placed,ZCOYCIZZ,0.00
2025-02-03,18:30,Wolverhampton,Nelson Gay,45,7,100,0,lucky15,888sport,Placed,UPOFBYEB,0.85
2025-02-03,13:40,Southwell,Ali Star Bert,246,9,98,0,lucky15,888sport,Placed,JGJDEJSL,0.65
2025-02-03,17:00,Wolverhampton,Kaleidoscope Eyes,53,8,103,0,lucky15,888sport,Placed,GJBZEWJP,0.85
2025-02-03,18:00,Wolverhampton,Jonny Garlic,117,4,100,NR,single,888sport,Placed,OFLJUYDZ,1.50
2025-02-03,18:30,Wolverhampton,Rosenpur,147,6.5,106,1,lucky15,888sport,Placed,ZHEAKSAO,0.65
2025-02-03,18:30,Wolverhampton,Rosenpur,84,6.5,98,1,lucky15,888sport,Placed,ESERDFXT,0.65
2025-02-03,15:50,Southwell,Whatsupwithyou,80,10,102,0,lucky15,888sport,Placed,UPOFBYEB,0.85
2025-02-03,18:00,Wolverhampton,Unknown Journey,141,10,106,0,lucky15,888sport,Placed,ABDKLZDP,0.65
2025-02-03,16:27,Wolverhampton,Staffordshire,60,10,100,0,single,888sport,Placed,LIDRNFFM,0.00
2025-02-03,13:50,Carlisle,Great Pepper,46,10,111,0,patent,888sport,Placed,FFLRLKBF,0.42
2025-02-03,15:50,Southwell,Whatsupwithyou,80,10,102,0,lucky15,888sport,Placed,WWTZTGDU,0.85
2025-02-03,18:30,Wolverhampton,Rosenpur,84,6.5,98,1,lucky15,888sport,Placed,ABDKLZDP,0.65
2025-02-03,13:10,Southwell,Fever Dream,61,9,96,0,lucky15,888sport,Placed,ZCOYCIZZ,0.00
2025-02-03,18:00,Wolverhampton,Jonny Garlic,117,4,100,NR,single,888sport,Placed,XBFYLQET,1.50
2025-02-03,15:50,Southwell,Toonagh Warrior,287,9,102,0,lucky15,888sport,Placed,ZUYTXWKR,0.00
2025-02-04,17:00,Newcastle,Spartan Fighter,79,5.5,100,0,single,sportingbet,Placed,XSAOFYNE,0.00
2025-02-03,13:00,Punchestown,Vanillier,80,8.5,100,1,lucky15,888sport,Placed,UPOFBYEB,0.85
2025-02-03,20:00,Wolverhampton,Porfin,120,6,100,0,lucky15,888sport,Placed,JGJDEJSL,0.65
2025-02-03,18:30,Wolverhampton,Nelson Gay,45,7,100,0,lucky15,888sport,Placed,HKNVNCJO,0.00
2025-02-03,19:30,Wolverhampton,Harlington,85,7,104,0,single,888sport,Placed,FBXJFIRC,0.00
2025-02-03,14:45,Southwell,Heart Over Head,98,2,100,0,single,sportingbet,Placed,FNZJNTNI,0.00
2025-02-03,19:00,Wolverhampton,Daaris,897,3,101,0,single,sportingbet,Placed,NMVCHEJR,0.00
2025-02-03,20:30,Wolverhampton,Not Just Yet,308,8,111,0,lucky15,888sport,Placed,ESERDFXT,0.65
2025-02-03,13:10,Southwell,West Warhorse,254,13,118,0,lucky15,888sport,Placed,DLTCGQHZ,0.00
2025-02-03,18:00,Wolverhampton,Unknown Journey,101,10,102,0,lucky15,888sport,Placed,JGJDEJSL,0.65
2025-02-03,16:20,Southwell,Just Chasing May,34,5.5,100,0,lucky15,888sport,Placed,MTORNDRJ,0.85
2025-02-03,13:00,Punchestown,Vanillier,40,8.5,94,1,lucky15,888sport,Placed,TTBHHMKB,0.85
