Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,betfred,Placed,JSSJBMER
2025-01-01,14:30,Catterick,Ensel Du Perche,228,11,110,1,lucky15,888sport,Placed,DREJHDGT
2025-01-02,17:10,Newcastle,Rodborough,387,21,108,0,lucky15,geoffbanks,Placed,DBIPYWPE
2025-01-01,13:39,Southwell,Socialiser,186,19,97,0,lucky15,williamhill,Placed,FXGNOZPI
2025-01-01,16:40,Newcastle,Dicko The Legend,47,10,100,0,single,sportingbet,Placed,FXIAWCKT
2025-01-01,12:28,Southwell,Macfin,248,9.5,97,0,lucky15,williamhill,Placed,XVKWWYWM
2025-01-01,12:28,Southwell,Macfin,248,9.5,97,0,lucky15,williamhill,Placed,NRSYKMVX
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,betfred,Placed,NZMJLGUM
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,fafabet,Placed,ZZQAOVRU
2025-01-01,12:28,Southwell,Prince Cleni,112,9.5,101,1,lucky15,geoffbanks,Placed,XXAHFFXN
2025-01-01,14:00,Fakenham,Brother Boris,41,6.5,105,0,patent,888sport,Placed,KHHCFVVE
2025-01-01,16:40,Newcastle,Bellagio Man,58,11,96,0,lucky15,williamhill,Placed,WQAGTLEQ
2025-01-01,15:34,Newcastle,Malc,101,7.5,96,0,lucky15,williamhill,Placed,DVIKSDQM
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,betfred,Placed,DHMUGYGZ
2025-01-01,13:35,Exeter,Keable,38,3.5,100,1,trixie,geoffbanks,Placed,ETWINQPO
2025-01-01,14:10,Exeter,Looking For Larry,45,14,100,1,trixie,geoffbanks,Placed,PPRIFHAH
2025-01-01,14:05,Cheltenham,Springwell Bay,801,3.75,99,1,double,williamhill,Placed,NXIUZMRN
2025-01-02,15:10,Huntingdon,Call Blue,73,8.5,104,0,double,888sport,Placed,VODFWASH
2025-01-02,13:52,Newcastle,Jujubella,123,7,97,1,lucky15,williamhill,Placed,CZXKBPNS
2025-01-01,14:15,Tramore,Montys Star,228,2.1,102,0,single,boylesports,Placed,EKGWEPXM
2025-01-01,12:50,Fakenham,Ilitch,62,5.5,134,0,lucky15,geoffbanks,Placed,OKZRNRTV
2025-01-02,14:35,Huntingdon,Kaituna River,124,3,100,0,single,sportingbet,Placed,ICHVLMIM
2025-01-01,13:30,Cheltenham,Cloudy Glen,63,11,100,0,trixie,williamhill,Placed,JFKHMJRR
2025-01-01,16:40,Newcastle,Profit Street,39,7.5,99,0,lucky15,betgoodwin,Placed,CRIBIWUE
2025-01-02,14:35,Huntingdon,Kaituna River,118,3,100,0,single,888sport,Placed,JZROGXXV
2025-01-01,14:35,Fakenham,An Bradan Feasa,45,11,96,0,lucky15,betgoodwin,Placed,CUMHOYFV
2025-01-01,13:00,Exeter,Risk De Pluie,140,5.5,102,0,single,geoffbanks,Placed,BJTKELWZ
2025-01-01,15:20,Exeter,Havaila,54,6.5,102,0,trixie,betfred,Placed,PWEHCWKZ
2025-01-01,11:54,Southwell,Doc Mccoy,66,11,96,0,lucky15,williamhill,Placed,FXGNOZPI
2025-01-01,14:30,Catterick,Ensel Du Perche,228,11,110,1,lucky15,888sport,Placed,BRQFAECP
2025-01-01,14:50,Tramore,Vaureal,167,11,120,0,lucky15,geoffbanks,Placed,XXAHFFXN
2025-01-01,15:39,Catterick,Restandbethankful,44,4.5,100,0,double,888sport,Placed,DHVXLPUI
2025-01-01,17:40,Newcastle,Masterclass,130,12,100,0,patent,betfred,Placed,IYZBRIBM
2025-01-01,14:14,Southwell,Rialannah,163,17,100,0,single,betfred,Placed,GGFUPHMW
2025-01-01,14:30,Catterick,Ensel Du Perche,85,9.5,97,1,lucky15,bwin,Placed,EJKKLFDG
2025-01-02,12:55,Huntingdon,Jhabite En France,183,6.5,102,1,lucky15,geoffbanks,Placed,NWEJHDVT
2025-01-02,14:35,Huntingdon,Laskalin,75,7,103,0,double,888sport,Placed,VODFWASH
2025-01-01,14:14,Southwell,Masked Dance,63,13,96,NR,lucky15,888sport,Placed,DIMDPCMM
2025-01-01,15:20,Exeter,Havaila,169,8,95,0,lucky15,williamhill,Placed,NRSYKMVX
2025-01-01,14:30,Catterick,Ensel Du Perche,38,9.5,95,1,lucky15,betfred,Placed,NZMJLGUM
2025-01-02,17:40,Newcastle,Calcutta Dream,53,9,98,0,lucky15,williamhill,Placed,TUSBTRGK
2025-01-02,16:05,Newcastle,Great Dream,225,5,100,0,double,geoffbanks,Placed,JKPAEDVI
2025-01-01,12:28,Southwell,Big Bee Hive,535,6,97,0,patent,williamhill,Placed,LHFXEQOD
2025-01-01,16:40,Newcastle,Bellagio Man,58,11,96,0,lucky15,888sport,Placed,YWQWQYNE
2025-01-01,14:40,Cheltenham,Deep Cave,629,7,97,0,lucky15,williamhill,Placed,CXLAAFEF
2025-01-01,17:40,Newcastle,Masterclass,130,12,100,0,patent,betfred,Placed,FNWUFBFU
2025-01-01,15:10,Fakenham,For Gina,50,8.5,109,0,trixie,betfred,Placed,SMNDCJUG
2025-01-02,17:40,Newcastle,Cherry King,52,2.62,106,0,single,geoffbanks,Placed,MSGWTYIO
2025-01-01,13:04,Southwell,Russian Ruler,70,13,100,0,patent,williamhill,Placed,LHFXEQOD
2025-01-01,14:40,Cheltenham,An Tailliur,95,29,104,0,lucky15,boylesports,Placed,WYCFZNYS
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,williamhill,Placed,TLBZYGGO
2025-01-01,15:10,Fakenham,Morfee,58,11,100,0,trixie,williamhill,Placed,ZTIVNWNO
2025-01-01,15:05,Catterick,Just Jess,61,11,100,0,trixie,betfred,Placed,PIJKTLKE
2025-01-01,14:05,Cheltenham,Marble Sands,38,17,94,0,lucky15,williamhill,Placed,FXGNOZPI
2025-01-01,12:28,Southwell,Big Bee Hive,383,5.5,102,0,trixie,bet600,Placed,YRFNAZWE
2025-01-01,14:40,Cheltenham,Idefix De Ciergues,78,12,100,0,patent,williamhill,Placed,LHFXEQOD
2025-01-01,14:15,Tramore,Classic Getaway,91,8.5,98,0,lucky15,bet600,Placed,JJRAACSV
2025-01-01,15:10,Fakenham,Morfee,58,11,100,0,patent,888sport,Placed,VIRNKYPM
2025-01-01,13:45,Musselburgh,Bold Light,116,5.5,100,1,lucky15,fafabet,Placed,JSFYVUFS
2025-01-02,17:40,Newcastle,Alexander James,802,5.5,96,1,lucky15,geoffbanks,Placed,NWEJHDVT
2025-01-01,12:28,Southwell,Prince Cleni,112,9.5,101,1,lucky15,geoffbanks,Placed,OKZRNRTV
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,lucky15,bet600,Placed,MMMXAGLL
2025-01-01,14:15,Tramore,Classic Getaway,91,8.5,98,0,lucky15,bet600,Placed,RVOFZJTU
2025-01-01,17:40,Newcastle,Masterclass,94,12,96,0,lucky15,bet600,Placed,JJRAACSV
2025-01-01,17:40,Newcastle,Masterclass,94,12,96,0,lucky15,bet600,Placed,RVOFZJTU
2025-01-01,14:05,Cheltenham,Springwell Bay,801,3.75,99,1,double,williamhill,Placed,HDMEPPVY
2025-01-02,16:40,Newcastle,Finn Ironside,305,11,96,0,double,geoffbanks,Placed,PVBFJXLS
2025-01-02,14:35,Huntingdon,Kaituna River,118,3,100,0,single,888sport,Placed,KFKPYPDI
2025-01-01,12:50,Fakenham,Ilitch,62,5.5,134,0,lucky15,geoffbanks,Placed,XXAHFFXN
2025-01-01,15:15,Cheltenham,Gowel Road,1000,9.5,100,0,single,sportingbet,Placed,QYSYUTQZ
2025-01-01,13:45,Musselburgh,Bold Light,116,5.5,100,1,lucky15,fafabet,Placed,ZZQAOVRU
2025-01-01,14:30,Catterick,Ensel Du Perche,268,10.5,114,1,trixie,geoffbanks,Placed,PPRIFHAH
2025-01-01,15:20,Exeter,Flash Gorcombe,127,5.5,102,1,lucky15,888sport,Placed,DIMDPCMM
2025-01-02,14:15,Ayr,Special Rate,166,5.5,98,0,lucky15,williamhill,Placed,DVBEXKCF
2025-01-01,15:15,Cheltenham,Gowel Road,2126,10,100,0,trixie,bet600,Placed,YRFNAZWE
2025-01-02,17:10,Newcastle,Rodborough,59,19,97,0,lucky15,williamhill,Placed,DVBEXKCF
2025-01-01,14:20,Musselburgh,Corrigeen Rock,496,4.5,98,0,double,williamhill,Placed,UADJQMOG
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,gentlemanjim,Placed,QMLIMFSC
2025-01-01,15:10,Fakenham,For Gina,251,8,112,0,lucky15,boylesports,Placed,TIBYZPNN
2025-01-02,13:25,Huntingdon,Abingworth,123,6.5,98,NR,lucky15,geoffbanks,Placed,DBIPYWPE
2025-01-02,18:10,Newcastle,Coramento,52,12,96,0,lucky15,williamhill,Placed,TUSBTRGK
2025-01-01,13:30,Cheltenham,Cloudy Glen,63,11,100,0,trixie,williamhill,Placed,URVMSJXB
2025-01-01,15:34,Newcastle,Malc,101,7.5,96,0,lucky15,williamhill,Placed,WQAGTLEQ
2025-01-01,15:10,Fakenham,Morfee,58,11,100,0,trixie,williamhill,Placed,AAPLTRHR
